question,answer,intent
코로나 질문 가족이 저 빼고 다 코로나 양성이여서 방역 했는데 집에 코로나 바이러스가 남아있을 수 있나요? 방문은 다 닫았고 수시로 소독하고 마스크 쓰고 다녀요 청소도 했고 물건도 다 버렸어요 그리고 집에 혼자 2주동안 있는데 너무 외롭고 슬퍼요 어떻게 해야 하나요,코로나19가 확진된 지인분들과 밀접한 접촉이 있었기 때문에 그동안 바이러스에 노출이 되었을 가능성이 있습니다. 코로나 검사를 한번 받아보시길 권합니다.,치명적인 의심정황
코로나검사 열이 나서 코로나검사를 받았는데요 제가 그저께부터 머리가 아팠는데 이번주에는 학원을 안갔는데 학원에 있던 사람들도 코로나 검사 받아요??,질문자님께서 코로나 양성 나오면 같은 장소에 있던 사람들도 코로나 검사 받아야죠. 아니면 증상 봐서 코로나 검사 받아야죠.,본인 확진으로 인한 주변여파
"코로나 기침 없음 후각 상실 , 병원 가서 감기약 처방 받았는데 그때는 열이 안 났고 후각도 괜찮다가 갑자기 지금 냄새를 맡을 수가 없습니다. 코 막힌 걸 뚫고 맡아봐오 아무 냄새도 나지 않아요. 코로나 증상 중 후각 상실도 있다는데 코로나일까요? 기침 없고 발열 목 아픔 콧물, 후각 상실만으로도 코로나일 수 있나요?",코로나19 감염이 아니었으면 좋겠습니다만 확답을 드리기 어렵습니다. 무증상 감염자도 간혹 있으며 'PCR검사' 외에 코로나19를 확인할 수 있는 방법이 없기 때문입니다.,경미한 의심증상
입병이 좀 중간? 으로 났어요. 그리고 열도 37.4-37.8 왔다갔다 하고요. 이거 검사 받아야하나요?,열이 더오르거나 지속되면 코로나 검사가 필요합니다.,경미한 의심증상
코로나 증상에 입병도 포함인지 알고 싶어요(조그나만 입병도),입병은 코로나 증상에 포함되지 않습니다.,입병 비교
"계속 기침을 하고 콧물도 좀 나와요,이것도 코로나 증상인가요?",그냥 감기 증상이 아닌가 싶습니다,경미한 의심증상
편도염 코로나 옛날에 편도염 걸렸을때 그냥 침 삼킬때 목이 아팠는데 요즘도 목이 아파서 편도쪽을 보니까 하얀색깔이 껴있어요 옛날에 편도염이였을때랑 껴있는게 비슷해요 편도에 껴있는게 보이는데 코로나일 확률이 있나요 목 아픈게 코로나 증상이랑 같으니까 걱정이네요ㅠ,코로나19 감염이 아니었으면 좋겠습니다만 확답을 드리기 어렵습니다. 무증상 감염자도 간혹 있으며 'PCR검사' 외에 코로나19를 확인할 수 있는 방법이 없기 때문입니다.,편도염 비교
"코로나 목부음 안녕하세요 일주일전에 확진자와 동선이 겹친것을 알고 오늘 문자가 와서 내일 코로나검사예약 해놨는데 오늘부터 목이 너무 아파요 목도, 뭘 삼킬땐 안 아픈데 목을 만져보거나 고개를 위로 하면 목이 땡기면서 아프더라고요 혹시 편도염 같은건지 아니면 진짜 코로나 증상인지 알려주세요",편도염인지 코로나 인지는 말로는 몰라요. 코로나는 코로나 검사 해 봐야 알수 있고 편도염은 의사가 편도를 봐야 알수 있어요. 코로나 검사 부터 보세요.,편도염 비교
코로나 증상 1. 코로나관련 증상인가 싶어서 여쭤봅니다. 2일전에 목에 가시가 낀 느낌이나서 억지로 긁어서 상처가 나서 목이 부은건지 아니면 코로나증상인지 궁금합니다. 그때부터 콧물이 나오는데 열은 없는데 혹시 코로나 증상일까요?,"위 증상만으로 코로나라고 진단하지는 못합니다. 그러나 증상이 지속하고, 발열, 호흡기 증상이 악화되거나 특히 코로나 환자와 동선이 겹치는 경우라면 코로나 선별검사를 받도록 하십시오.",경미한 의심증상
"코로나 걸리기 싫어요 , 혹시몰라서 코로나 검사도 했어요 그래서 지금 제가 열이많이 나요 38도에서 39도 까지, 나온다는데 코로나일 가능성 높나요 채택 꼭 해드릴게요 코로나 아니길 간절히 바랍니다 아직 제, 1.코로나일 가능성 높나요? 2.코로나걸리면 많이 아프다던데 어떻게 어디가 아프네요 3.코로나",지금은 코로나 검사결과를 지켜보시는 수 밖에는 없어요. 코로나 걸린다고해서 특별하게 많이 아픈곳은 없지만 호흡기계 합병증이 생기면 위험할 수 있습니다만 대부분 경증입니다.,경미한 의심증상
코로나인가요.. 안녕하세요.6학년 여자 입니다.코로나 증상이 감기랑 비슷하잖아요..그래서 제가 코로나인지 감기인지 잘 모르는데..오늘 아침부터 머리가 자꾸 어지러워요..열은 안난다고 하는데 지금까지 아파요..학원에서도 아프더라고요..코로나 증상 좀 알려주세요.. 지금도 아프네요..걱정이에요..,코로나는 증상으로 구별하지 못합니다. 계속되면 코로나 검사가 필요합니다. 빨리회복하세요~,경미한 의심증상
"코로나 목 간지러움(냉방병) , 이거 혹시 코로나 증상인가요? 최근 환경이 최근에 저희 누나가 코로나 검사 받은적 있는데 음성나오긴 했습니다,. 근데 코로나 증상과 냉방병 증상이 유사하다고 해서 냉방병 걸릴만한 환경으로는 또, 틀어서 집 환기가 잘 안되기도 했거든요,.코로나 증상인지 냉방병증상인지 헷갈리네요ㅠ",냉방병의 증상들도 초기 코로나 증상과 겹치는 부분이 여럿 있어서 증상이 지속하는 경우에는 코로나 선별검사를 받도록 하십시오.,냉방병 비교
열 안나는 코로나 제가 열은 안나는데 목이 조금 아팠는데 율무차 먹으니까 괜찮아졌고 기침이 조금 나올랑말랑 하거든요..? 코로나일 가능성도 있나요? 코로나 검사 받아야할까요?,증상만으로 코로나를 알수 없지만 지금 코로나 검사를 고려하지않아도 될것 같아요 좀더 경과를 지켜보세요,경미한 의심증상
"코로나 신속진단 키트 지금 해외체류중이며 코로나가 의심이 되어 10일전 한국제품인 신속진단 키트로 검사를 해보았더니 음성이 나왔습니다,. 코로나 신속진단 키트가 양성일 경우는 2줄선이 나오는 걸로 알고 있는데 혹시 코로나 완치후 재검했을 경우 또다시 2줄이 나올수가 있는것인가요? 아직코로나 치료가",걱정많으신가요? 코로나 무증상이시라면 10일지나고 증상없으시면 퇴원입니다. 검사 결과만 보면 아직 코로나 항원이 검출되고 있다고 볼수 있습니다 IgG 또는 IgM에 표시가 나는지도 한번 확인해보실 필요있어요,진단키트 음성
"광견병 아니면 코로나? , 다름이 제가 코로나인지 광견병인지 헷갈려서 이 글을 쓰겠됩니다. 일단 증상은 3가지입니다. 1.일단 열이 미열입니다. 이마은 36.8~37.0, 저 코로나,광견병,가벼운 감기 무엇입니까? 아 그리고 저의 지역은 코로나 확진자가 많아지고 있습니다. 경기도 가평입니다",코로나 여부는 증상으로 구별이 어려우니 검사를 통하여 확인해보시는것이 좋습니다. 코로나 음성이면 감기증상이 아닌가 싶습니다,경미한 의심증상
"코로나 증상 인가요?? 안녕하세요 몇일전부터 두통과 침을 삼키면 따끔거려 인후통이라고 생각을 하고 있는데 하지만 생각이 많아져 혹시 코로나인가? 라는 생각을, 그리고 집앞 5분거리인 치과 빼고는 외출은 안나가고 있습니다. 제가 지금 현재 격고 있는 증상이 코로나 증상 일까요..? 걱정이되어 질문을남깁니다!",열없이 정상인처럼 보일때도 많습니다. 현재는 인후염 시작하는 초기정도 반응으로 여겨집니다. 걱정되시면 1339나 동네 보건소에 전화문의해보신후에 병원을 방문하셔도 됩니다.,인후통 비교
코로나19 발열증상 열 내렸다가 올랐다가 그러면 코로나 아닌가요? 몸살같긴한데 열이 높으면 37.3도나 37.6도 인데 약 먹거나 한번씩은 36도 초반으로 나올때가 있습니다 그리고 운동을 해서 뛰는데 폐활량은 똑같이 좋구요 힘든게없어요 코로나면 뛰면," 근육통, 두통, 인후통, 후각·미각소실 - 그 외에 피로, 식욕감소, 가래, 소화기증상(오심, 구토, 설사 등), 혼돈, 어지러움, 콧물이나 코막힘, 객혈, 흉통, 결막염, 피부 증상 등이 다양하게 나타남 코로나는 증상이 다양해요. 질문자님은 코로나 가능성 떨어져요. 하지만 검사 한번 받아보시길 권해드려요. 경과 보세요.",경미한 의심증상
"코로나 증세 , 하니까 코로나가 아닌가 의심이 되어서요 또 제가 비염이 있고 춥게 입고자서 가끔씩 목이 아프거든요 지금은 안아픈데 3일전쯤에 저녁에 목이아팠다가 다시 괜찮아졌긴 했는데 이것도 코로나 증세인가요?","증상으로 코로나와 알레르기비염을 구분하기는 어렵습니다. 알레르기비염을 갖고 있는 분들은, 주변에 환자가 급증한다던지, 접촉하였다던지, 코로나로 진단받은(추후라도) 사람과 같은 공간에 있었는지, 37.5도 이상의 발열, 호흡곤란, 인후통, 후각마비 등의 증상일때는 코로나 검사를 받도록 권고하고 있습니다.",비염 비교
"코로나 초기증상 , 상황인지라 코로나일까봐 조금 걱정되네요 코로나 걸린걸까요,? 어제는 카페갔고 오늘은 잠깐 뭐 사러 나갔다온게 다고 주말에는 집에만 있었는데 혹시 코로나 증상인걸까요",코로나를 증상만으로 알수는 없습니다만 코로나는 아닌듯 하니 경과를 지켜보세요 너무 걱정마시구요,경미한 의심증상
"코로나 증상 , 머리가 지속적으로 아프면 코로나일 수 있나요 ? 참고로 백화점 갔을때 마스크쓰고 갈때는 1시간의 거리를 걸어가고 올때는 20분동안 버스를 탔습니다 .. 음식 먹을때는 마스크를 잠깐 벗기도 했고요 ,, 지금 너무 무서운데 코로나 아니겠져 ?",코로나를 증상만으로 알수는 없습니다만 코로나는 아닌듯 하니 경과를 지켜보세요 너무 걱정마시구요,경미한 의심증상
코로나 증상 안녕하세요 코로나 증상에대해알고싶어서 검색했는데 자세하게 안 나오더라고요 코로나 증상에 대해 알려주세요자세하게안나오더라고요 코로나 증상에 대해 알려주세요,코로나 감염은 증상만으로 구별하기 힘든것은 아시죠? 코로나 19 주증상은 발열 기침 폐렴 호흡곤란 목아픔입니다 증상이 있다면 외출을 자제하고 집에서 충분히 휴식을 취하면 3-4일동안 경과를 관찰하다가 38도이상의 고열이 지속되거나 증상이 심해지면 1339로 전화해서 신고해야합니다.,증상 질문
"코로나는 아니겠죠? , 가래 느낌이 나는데 가래는 아닌거 같아요 집에 체온계가 없어서 체온은 모르겠어요 집에서 잠바를 입고 있어서 얼굴이 좀 화끈거린달가요? 쎄게는 아니고 살짝식이요 설마 코로나는 아니겠죠? 코로나 증상도 더 알려주세요 ㅜ","위 증상만으로 코로나라고 진단하지는 못합니다. 그러나 증상이 지속하고, 발열, 호흡기 증상이 악화되거나 특히 코로나 환자와 동선이 겹치는 경우라면 코로나 선별검사를 받도록 하십시오.",경미한 의심증상
코로나 증상 코로나에 걸리면 무슨 증상들이 나타나요?,"코로나 증상에는 발열, 권태감, 기침, 호흡곤란 및 폐렴 등 경증에서 중증까지 다양한 호흡기감염증이 주로 나타나고 그 외로는 가래, 인후통, 두통, 객혈과 오심, 설사 등도 나타납니다. 보통 코로나에 걸리면 후각이 둔감해지고 발열증상이 가장 큰 특징입니다.",증상 질문
코로나 인후통 증상도 있나요?20일날 코로나 음성 판정 받았는데 2틀전부터 아침에 일어났을때 잠시 침삼키면 목이 따가웠다가 괜찮아지는데 밤되면 약간 목이건조함을 느끼는데 코로나 인가요?다른 증상은 없습니다 만약 코로나이면 증상이 나타났다가 안나타났다가 반복 하나요?,요즘 조금만 불편해도 코로나 걱정이 많습니다. 증상만으로는 알수 없지만 코로나는 아닌듯 하니 너무 걱정하지 마세요. 걱정되시면 1339나 동네 보건소에 전화문의해보신후에 병원을 방문하셔도 됩니다.,인후통 비교
"코로나 증상 , 코로나의 대표적인 증상으로 발열이 있다는데, 집에 체온계가 없어 열을 잴 수는 없었고 다만 주관적으로 열감이나 오한이 느껴진 적은 없었습니다. 코로나 초기에 인후통으로 시작된다는 글을 봐서, 혹시 코로나일까요ㅠ",코로나 19 감염이 지역사회감염으로번지면서 불안감이 고조되고있습니다. 아마도 코로나 19는 아니겠지만 증상만으로는 감별이 어렵습니다. 걱정되거나 의심되면 1339 전화하셔서 선별검사 혹은 진료가 필요한지 안내 받아보세요~,인후통 비교
머리가 아픈데 코로나일까요???? 감기랑 열 나는 등 증상은 없는데 머리가 아파요 원래 코로나 터지기 전부터 자주 아팠었는데 코로나 터지고 나니까 신경 쓰여요ㅠㅠㅠㅠ,요즈음 몸이 불편한 증상이 생기면 코로나 때문에 걱정이 많습니다 증상으로 코로나를 구별할 수는 없지만 코로나는 아닌것 같으니 너무 걱정하지마세요,경미한 의심증상
"코로나 갈증 두통 어지러움 제가 코로나가 유행인데도 나갈일이 있어 자주 나갓다왔습니다 그런데 4~5일 전 주터 약간의 두통과 갈증이 있습니다 아침에 일어낫을땐 살짝, 기침이나 콧물 재채기도 없습니다 갑자기 목이 간질간질하고 갈증이 생기고 두통도 있고 어지러워서 걱정되서 문의 드립니다 혹시 코로나일까요..",요즈음 몸이 불편한 증상이 생기면 코로나 때문에 걱정이 많습니다 증상으로 코로나를 구별할 수는 없지만 코로나는 아닌것 같으니 너무 걱정하지마세요,경미한 의심증상
"코로나 관련질문 , 그런데 오늘 새벽 쯤에 추워서 옷을 입고 누웠는데 열이 좀 났던거 같기도 하고 좀 추워하다가 잠들었고요 아침에 열을 재보니까 37.4도 까지 나왔는데 열 외에 다른 코로나 초기 증상들은 없더라구요, 혹시 이거 코로나인가요ㅠ",열은 좀더 자주 측정하면서 경과를 보셔야합니다. 이러다가 열이오르면 1339 통화해보시는것이 좋겠습니다. 요즈음 몸이 불편한 증상이 생기면 코로나 때문에 걱정이 많습니다. 증상으로 코로나를 구별할 수는 없지만 코로나는 아닌것 같으니 너무 걱정하지마세요,경미한 의심증상
목만아픈데 코로나 인가요?,요즘 조금만 불편해도 코로나 때문에 걱정이 많습니다 증상만으로 코로나를 구별할수는 없지만 코로나는 아닌 듯하니 너무 걱정하지않으셔도 괜찮을것 같아요,경미한 의심증상
코로나 기침 코로나는 기침을 보통 어느정도로 하나요 막 3시간에 세번씩 하는 정도는 코로나라고 안하나요??,코로나는 증상만으로 구별은 어렵지만 코로나는 아닌것으로 생각됩니다,경미한 의심증상
"코로나 인후통 , 혹시 코로나 일까요..? 열은 안나는거 같은데 지금 생리통도 심해서 머리도 아픈데 같이 겹쳐서 이게 코로나인지 아닌지 애매하네요ㅠ 오늘, ㅠ 엄마가 학원같은거 빠지는걸 별로 안좋아해서 고3이기도 하고 코로나일까요 그리고 혹시몰라서 학교까지 안가게 되면 제가 학종으로 대학 준비를",많이 불편하시지요? 빨리회복하세요 요즘 조금만 불편해도 코로나 걱정이 많습니다 증상만으로는 알수 없지만 코로나는 아닌듯 하니 너무 걱정하지 마세요,경미한 의심증상
"코로나 초기증상인가요? 제가 지금 어지럽고 피곤하고 아주 가끔 마른기침이나오는데 코로나 초기증상은 아니겠죠? 속도 쓰리고,. 그리고 코로나 초기증상에는 뭐가있는지도 알려주세요",코로나 19 주증상은 발열 기침 폐렴 호흡곤란 목아픔입니다 증상이 있다면 외출을 자제하고 집에서 충분히 휴식을 취하면 3-4일동안 경과를 관찰하다가 38도이상의 고열이 지속되거나 증상이 심해지면 1339로 전화해서 신고해야합니다.,증상 질문
"코로나 증상 , 몸이 붕 뜨는 느낌도 자주 나구요 예전에 독감 걸렸을때 이런 느낌이 계속 났었어요 코로나 증상에 식욕부진이 있었던거 같은데 혹시 코로나일까요..?만약에 코로나면 제가 아픈거 보다 주변사람들이 더 걱정이에요ㅜㅠㅠㅠ최근에 놀러간적도 없고 집이랑 학원만 병행하긴 했는데..기침증상은",요즈음 몸이 불편한 증상이 생기면 코로나 때문에 걱정이 많습니다 증상으로 코로나를 구별할 수는 없지만 코로나는 아닌것 같으니 너무 걱정하지마세요,경미한 의심증상
신종코로나 잠복기는 며칠인지알려주시고요.,잠복기는 약2주입니다,코로나 잠복기
제가 발열은없고 인후통만 살짝 있고 오래 지속되어온 비염이 있습니다 코로나 아니겠죠? 제가 사는곳은 경남에다 엄청시골이라 사람도 별로 안 다닙니다. 저 코로나 아니겠죠?,요즘 신종 코로나 바이러스때문에 모두 걱정이 많아요 말씀하신대로 코로나는 아닌듯합니다 너무 걱정하지마세요,인후통 비교
"이거 코로나인가요? , 진짜 너무너무 심해요(일주일 전에 소화불량으로 병원 가서 약 처방 받앗어요ㅠ 혹시 이거랑 관련 잇는건가요,)그 외 다른 증상은 전혀 없어요 딱 가슴답답이랑 근육통만 잇는데 코로나인지 너무 불안해요 코로나일까봐 잠도 제대로 못자고 그래요 제가 너무 불안한게 심각한거일까요",요즈음 몸이 불편한 증상이 생기면 코로나 때문에 걱정이 많습니다 증상으로 코로나를 구별할 수는 없지만 코로나는 아닌것 같으니 너무 걱정하지마세요,경미한 의심증상
코로나 검사 아산에 사는 5학년 초딩인데 학교에 코로나 걸린 얘가 있어서 코로나 검사 받으러 가야되는데 택시 타고가야해요 ㅜㅜ 보건소 가서 검사 받을수 있나요??,"◈ 코로나 검사의 경우 사회적거리두기 2단계 이상 시(또는 별도 공지 기간), 역학적 연관성이나 증상 유무와 관계없이 코로나 19 진단검사가 가능합니다. ▶ 현재 서울의 경우 서울시내 임시선별진료소와 선별진료소에서 코로나 검사는 무료로 진행됩니다.",코로나 검사 가능 여부
"위드코로나인데 접촉자 코로나 검사를 하는 이유가뭔가요? 감기처럼 여긴다고 해서 위드코로나인데 굳이 코로나 검사 받아서 양성 나오면 또, 밀접접촉자도 검사받고 양성뜨면 또 입원하고 왜 위드코로나인지 궁금합니다 ;; 그리고 진짜 독감처럼 여겨서 입원은 언제부터 안하는지도 궁금합니다.","위드코로나는 코로나19의 장기화에 따른, 코로나19를 예방하며 일상생활을 해야 하는 시기 또는 정책입니다. 때문에 감염확산을 막기 위한 절차는 그대로 진행합니다.",위드코로나  검사 시행
위드코로나 위드 코로나가 정확히 뭐여요?,"코로나19의 장기화에 따른, 코로나19를 예방하며 일상생활을 해야 하는 시기 또는 정책입니다.",위드코로나
