기준일,시도,시군구,의료기관명,주소,평일 운영시간,토요일 운영시간,"일요일/공휴일
운영시간",대표 전화번호,관할보건소,관할보건소 전화번호,장애인 편의사항
2021년 11월 11일 09시,서울,은평구,서울특별시은평병원,은평구 백련산로 90,10:00~17:00,미운영,미운영,02-300-8060,은평구보건소,351-8268,
2021년 11월 11일 09시,서울,은평구,의료법인 청구성심병원,서울 은평구 통일로 873,09:00~17:00,미운영,09:00~17:00,350-3300,은평구보건소,351-8268,
2021년 11월 11일 09시,서울,종로구,종로구보건소,서울 종로구 옥인동(청운효자동) 45-30 종로구보건소,09:00~21:00,09:00~18:00,09:00~18:00,02-2148-3725,종로구보건소,2148-3725,
2021년 11월 11일 09시,서울,종로구,강북삼성병원,서울시 종로구 평동 108,08:00~17:00,08:00~12:00,미운영,02-2001-1896,종로구보건소,2148-3752,
2021년 11월 11일 09시,서울,종로구,서울적십자병원,서울시 종로구 평동 164,09:00~17:00,미운영,미운영,02-2002-8650,종로구보건소,2148-3752,
2021년 11월 11일 09시,서울,종로구,서울대학교병원,서울시 종로구 대학로 101(연건동),10:00~16:00,미운영,미운영,1588-5700,종로구보건소,2148-3752,
2021년 11월 11일 09시,서울,중랑구,중랑구보건소,서울 중랑구 신내2동 662 중랑구청 ,"09:00~12:00,13:00~18:00,18:30~21:00","09:00~13:00,14:00~18:00","09:00~13:00,14:00~18:00",02-2094-0800,중랑구보건소,02-2094-0927,"전자문진표 이용, 의사소통 도움판0"
2021년 11월 11일 09시,서울,중랑구,서울의료원,중랑구 신내로 156,09:00~17:00,09:00~12:00,09:00~12:00,02-2276-8333,중랑구보건소,02-2094-0905,
2021년 11월 11일 09시,서울,중랑구,녹색병원,중랑구 사가정로 49길 53,08:30~17:30,08:30~12:30,미운영,02-490-2000,중랑구보건소,02-2094-0905,
2021년 11월 11일 09시,울산,울주군,서울산보람병원,울주군 삼남읍 중평로 53,09:00~17:00,09:00~12:00,미운영,052-255-7114,울주군보건소,052-204-2726,"장애인 주차공간 O, 휠체어 이동가능 통로 O, 경사로 O, 휠체어 리프트 O"
2021년 11월 11일 09시,경기,용인시,용인서울병원,경기도 용인시 처인구 고림로 81 ,09:00~17:30,09:00~12:30,미운영,031-322-0001,처인구보건소,031-324-4981,
2021년 11월 11일 09시,충북,제천시,제천 서울병원,충청북도 제천시 숭문로 57,00:00~24:00,00:00~24:00,00:00~24:00,043-642-7609,제천시보건소,043-641-3913,
2021년 11월 11일 09시,경남,사천시,의료법인승연의료재단 삼천포서울병원,경남 사천시 남일로 33(동금동),00:00~24:00,00:00~24:00,00:00~24:00,055-830-9009,사천시보건소,055-831-3637,
